,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Ced_prime,Cedstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,delta_UCed,delta_UCedstar,leak,leakstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,Qe2_prime,Qe2star_prime,region_scenario,conv
120,Unilateral,US as Home,2,1.049411143,0.723856626,5.17E-06,1.773267769,0.020496434,0.740153431,0.01391713,0,29.62986597,29.62986597,0.605717857,3.446313701,1.94781629,0.28549729,0.683822245,0.190540913,0.094956377,22.66069666,8.084,2.25253383,1.064882306,3.317416136,31.11066667,161.8533333,22.44149127,141.6269296,4.6666,24.21791593,-1.570466667,0.723337171,0.176252054,-1.323746955,-0.375013629,0.705965973,-5.302181096,-1.502092349,-4.005434027,0.09376466,-2.67314088,-1.378691751,-0.615270351,-0.17442569,0,0,12.75269358,-12.99689301,0,29.62986597,0,0,1,1
126,Unilateral,US as Home,2.1,1.047723035,0.758925493,5.17E-06,1.806648529,0.020629447,0.740153431,0.013751295,0,29.60602473,29.60602473,0.594526284,3.451866455,1.911827377,0.282489379,0.671187573,0.184791869,0.09769751,22.69412571,8.084,2.225692979,1.113251834,3.338944813,31.11066667,161.8533333,22.46470102,141.6086302,4.6666,24.21337216,-1.570466667,0.698338032,0.169292164,-1.310753513,-0.36386654,0.682124731,-5.281386713,-1.466118452,-4.029275269,0.098004953,-2.760170017,-1.346410487,-0.635301636,-0.168603258,0,0,14.04402576,-13.15397085,0,29.60602473,0,0,1,1
132,Unilateral,US as Home,2.2,1.046096285,0.793932398,5.12E-06,1.840028683,0.020766466,0.740153431,0.013590608,0,29.58303186,29.58303186,0.583740905,3.45723434,1.877144668,0.279666059,0.659011472,0.179319376,0.100346683,22.72623667,8.084,2.199685285,1.161436378,3.361121664,31.11066667,161.8533333,22.48869687,141.5897799,4.6666,24.20875684,-1.570466667,0.674266578,0.162657514,-1.29839677,-0.353249806,0.659131862,-5.261451863,-1.431462935,-4.052268138,0.102206723,-2.84560472,-1.315277929,-0.654965935,-0.16298357,0,0,15.34290825,-13.3128258,0,29.58303186,0,0,1,1
138,Unilateral,US as Home,2.3,1.044527588,0.828881157,5.12E-06,1.873408744,0.020907381,0.740153431,0.013434814,0,29.56084258,29.56084258,0.573339904,3.462426501,1.843698006,0.277016142,0.647269311,0.174105314,0.102910828,22.75709219,8.084,2.174469473,1.209459839,3.383929312,31.11066667,161.8533333,22.51346532,141.5703934,4.6666,24.20407422,-1.570466667,0.651071864,0.156325744,-1.286634751,-0.343129164,0.636942585,-5.2423385,-1.398065168,-4.074457415,0.106370482,-2.929503133,-1.285234278,-0.674276629,-0.157556144,0,0,16.64900978,-13.47330214,0,29.56084258,0,0,1,1
144,Unilateral,US as Home,2.4,1.043013384,0.863774905,5.16E-06,1.906788289,0.021052095,0.740153431,0.013283674,0,29.53940832,29.53940832,0.563303229,3.467453107,1.811422914,0.27452946,0.635938456,0.169133116,0.105396344,22.7867615,8.084,2.15000696,1.257344827,3.407351787,31.11066667,161.8533333,22.53899417,141.5504843,4.6666,24.19932807,-1.570466667,0.628699416,0.150274561,-1.275424366,-0.33346974,0.615508324,-5.224000044,-1.365855933,-4.095891676,0.110496749,-3.011918385,-1.256212488,-0.693245947,-0.152309523,0,0,17.96214304,-13.635187,0,29.53940832,0,0,1,1
150,Unilateral,US as Home,2.5,1.041550765,0.898616774,5.17E-06,1.940167539,0.021200517,0.740153431,0.013136966,0,29.51868948,29.51868948,0.55361197,3.47232235,1.780258585,0.27219654,0.624997556,0.164387474,0.107809065,22.81530065,8.084,2.126261663,1.305112722,3.431374385,31.11066667,161.8533333,22.56527245,141.5300651,4.6666,24.19452171,-1.570466667,0.607104534,0.144485244,-1.264730235,-0.324242591,0.594789476,-5.206401795,-1.334780462,-4.116610524,0.114586043,-3.092902799,-1.228159309,-0.711885933,-0.1472344,0,0,19.28203116,-13.79834741,0,29.51868948,0,0,1,1
156,Unilateral,US as Home,2.6,1.040136712,0.933409532,5.24E-06,1.973546244,0.021352562,0.740153431,0.01299448,0,29.49864477,29.49864477,0.544248714,3.477042928,1.750149018,0.27000874,0.614426954,0.159854371,0.110154369,22.84276885,8.084,2.103199949,1.352783457,3.455983405,31.11066667,161.8533333,22.59229014,141.5091474,4.6666,24.18965808,-1.570466667,0.586241129,0.13893949,-1.254516973,-0.315418958,0.57474477,-5.189504198,-1.304779483,-4.13665523,0.118638858,-3.172504209,-1.201017846,-0.730207597,-0.142321017,0,0,20.60849725,-13.96261534,0,29.49864477,0,0,1,1
162,Unilateral,US as Home,2.7,1.038768775,0.968155719,5.23E-06,2.006924494,0.021508152,0.740153431,0.012856024,0,29.4792408,29.4792408,0.535197016,3.481621787,1.721041329,0.267957985,0.604208082,0.155520823,0.112437162,22.86921367,8.084,2.080790326,1.400375834,3.48116616,31.11066667,161.8533333,22.62003818,141.4877421,4.6666,24.18473984,-1.570466667,0.566071621,0.133621966,-1.244755668,-0.306975068,0.5553408,-5.173278247,-1.275806557,-4.1560592,0.122655678,-3.25076965,-1.174743359,-0.748221763,-0.137561511,0,0,21.9412795,-14.12789241,0,29.4792408,0,0,1,1
168,Unilateral,US as Home,2.8,1.037444341,1.002857896,5.26E-06,2.040302237,0.021667215,0.740153431,0.012721413,0,29.46044173,29.46044173,0.526441621,3.486066535,1.69288647,0.266036877,0.594323721,0.151374866,0.114662012,22.89468688,8.084,2.059003147,1.447907902,3.506911049,31.11066667,161.8533333,22.64850856,141.4658589,4.6666,24.17976927,-1.570466667,0.546556189,0.128517353,-1.235416648,-0.298886724,0.536541734,-5.157689403,-1.247809712,-4.174858266,0.126637003,-3.327742834,-1.149286423,-0.765938494,-0.13294739,0,0,23.28021786,-14.2940433,0,29.46044173,0,0,1,1
174,Unilateral,US as Home,2.9,1.036161241,1.037518289,5.30E-06,2.07367953,0.021829684,0.740153431,0.012590477,0,29.44221792,29.44221792,0.517968174,3.490383403,1.665638277,0.264238511,0.584757665,0.147405422,0.116833089,22.91923107,8.084,2.037810715,1.495396474,3.533207189,31.11066667,161.8533333,22.67769395,141.4435072,4.6666,24.17474845,-1.570466667,0.52766169,0.123612634,-1.226475219,-0.291133583,0.518317921,-5.14271126,-1.22074701,-4.193082079,0.130583304,-3.403466085,-1.124607093,-0.783367531,-0.12847165,0,0,24.62508936,-14.4609841,0,29.44221792,0,0,1,1
