,regionbase,tax_sce,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Ced_prime,Cedstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,delta_UCed,delta_UCedstar,leak,leakstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,conv
10,OECD37 as Home,purete,1.0,1.0841449608799634,0.0,0.5,0.7100796750015945,0.057913183842328936,0.7795968539285809,0.05791318384232893,5.690389635171348,25.33433603684791,31.024725672019258,2.3310535871040328,1.995581843819078,8.072997906936777,0.9464601478820227,2.2823516128245562,0.9464601478820226,4.554843972295782e-16,15.396280573450102,16.496,6.840666666666665,0.0,6.840666666666666,74.84466666666665,118.11933333333333,55.410933333333325,108.60846666666666,11.226699999999997,17.7179,-2.391797591453441,1.044920917196107,0.384208955898116,-0.6341462689502392,-0.5910873397894624,1.003006036847907,-1.655485969906266,-1.5430774348488008,-2.6105743279807427,0.0,-0.9070233007510409,-1.4314578763462875,-0.20417658667800964,-0.17479267381998803,0.0,0.0,1.6567654314840041,-1.831224353556225,5.690389635171348,25.33433603684791,1
11,OECD37 as Home,purete,1.1,1.095304745650748,0.0,0.5,0.7775977851420769,0.057913183842328936,0.7795968539285809,0.057913183842328936,5.2442292225951075,25.464393317016075,30.708622539611184,2.3073030679681086,1.9752493619614602,7.990744160247417,0.9368169033088303,2.2590973058643113,0.9368169033088303,0.0,15.239411740230326,16.495999999999995,6.840666666666666,0.0,6.840666666666666,74.84466666666664,118.11933333333332,55.41093333333332,108.60846666666666,11.226699999999997,17.7179,-2.5459472911595187,1.186646948414966,0.387150047229852,-0.634146268956245,-0.5910873397950603,1.1330633170160738,-1.8559415919439068,-1.7299219944993887,-2.9266774603888166,0.0,-1.021996039331795,-1.6129070541901729,-0.23005766526221486,-0.19694909733887375,0.0,0.0,2.0265113876507117,-2.274857500483422,5.2442292225951075,25.464393317016075,1
12,OECD37 as Home,purete,1.2000000000000002,1.1073061328227378,0.0,0.5,0.8442106567529926,0.057913183842328936,0.7795968539285809,0.05791318384232893,4.772269833950895,25.6035214699703,30.375791303921194,2.282295676948594,1.9538408899486712,7.904137564639593,0.926663340502118,2.234612386452042,0.9266633405021178,4.459571742432916e-16,15.074241445271666,16.496,6.840666666666665,0.0,6.840666666666666,74.84466666666667,118.11933333333336,55.410933333333325,108.60846666666667,11.226700000000003,17.717900000000007,-2.6828024653678018,1.3398687818522514,0.39030160327559377,-0.6341462689804234,-0.5910873398175969,1.2721914699702985,-2.0670052783276205,-1.9266543242775462,-3.2595086960788073,0.0,-1.1443393075605681,-1.8059883507555552,-0.2575978959148334,-0.22052589736140465,0.0,0.0,2.4395761896431165,-2.786461428661331,4.772269833950895,25.6035214699703,1
13,OECD37 as Home,purete,1.3,1.1203283122957726,0.0,0.5,0.9097891958820706,0.057913183842328936,0.7795968539285809,0.05791318384232893,4.2690839914835665,25.753633127536343,30.02271711901991,2.2557673248668255,1.9311303447884518,7.812263515919562,0.9158922333198202,2.2086382829417825,0.9158922333198201,4.407735737785463e-16,14.899025416750588,16.496,6.840666666666665,0.0,6.840666666666666,74.84466666666665,118.11933333333334,55.410933333333325,108.60846666666666,11.226700000000003,17.717900000000004,-2.8017202761790565,1.507064779085762,0.3937080959511361,-0.6341462690255724,-0.5910873398596805,1.4223031275363418,-2.290905955519179,-2.1353520051411436,-3.612582880980092,0.0,-1.2755976187708384,-2.0131393062627345,-0.2871449581940977,-0.2458207174156894,0.0,0.0,2.8984171328939956,-3.376389014870868,4.2690839914835665,25.753633127536343,1
14,OECD37 as Home,purete,1.4000000000000001,1.1346244336803735,0.0,0.5,0.9741582361647235,0.057913183842328936,0.7795968539285809,0.05791318384232893,3.727005915903167,25.917428843047517,29.644434758950684,2.2273449477925826,1.906798351752632,7.713830004180523,0.9043521094214817,2.1808097257114456,0.9043521094214816,4.3521988365271064e-16,14.711299619960522,16.495999999999995,6.840666666666665,0.0,6.840666666666666,74.84466666666665,118.11933333333333,55.410933333333325,108.60846666666666,11.2267,17.7179,-2.9019705108522285,1.691739341164721,0.39743232287905655,-0.6341462689704809,-0.5910873398083292,1.586098843047516,-2.530792302575403,-2.358949918865367,-3.990865241049317,0.0,-1.4179513036932343,-2.2378009035341067,-0.3191896581091101,-0.2732537295501185,0.0,0.0,3.4060501914231205,-4.059025927297043,3.727005915903167,25.917428843047517,1
15,OECD37 as Home,purete,1.5,1.1505730671144023,0.0,0.5,1.0370666109089897,0.057913183842328936,0.7795968539285809,0.057913183842328936,3.134574409694108,26.098944921986565,29.23351933168067,2.1964706738165973,1.88036732462892,7.606904985139681,0.8918164602735082,2.1505804982952625,0.8918164602735082,0.0,14.507379389526703,16.496,6.840666666666666,0.0,6.840666666666666,74.84466666666665,118.11933333333334,55.41093333333333,108.60846666666669,11.226700000000001,17.717900000000004,-2.982725189014483,1.899137702446646,0.4015681505233807,-0.6341462689495854,-0.5910873397888528,1.7676149219865636,-2.7913727875491148,-2.601836825570871,-4.401780668319329,0.0,-1.5746584855059789,-2.4851150899504204,-0.3544654194527966,-0.3034528074494006,0.0,0.0,3.9663035709801813,-4.855528760620815,3.134574409694108,26.098944921986565,1
16,OECD37 as Home,purete,1.6,1.168787575299571,0.0,0.5,1.0981248863568787,0.057913183842328936,0.7795968539285809,0.05791318384232893,2.473223595762812,26.304717503905213,28.777941099668023,2.162240644415009,1.8510634829819053,7.488358179848639,0.8779182990005701,2.1170656262031096,0.8779182990005698,4.2249859978989475e-16,14.281294867223192,16.496,6.840666666666665,0.0,6.840666666666666,74.84466666666665,118.11933333333333,55.410933333333325,108.60846666666669,11.226699999999997,17.7179,-3.0430684567889617,2.1377656634431847,0.4062675919974412,-0.6341462689490107,-0.5910873397883173,1.9733875039052116,-3.080276023591793,-2.871123350794335,-4.8573589003319775,0.0,-1.7509941698346376,-2.7634068427688567,-0.39415967880197067,-0.3374344986894838,0.0,0.0,4.584270324915573,-5.799601481400394,2.473223595762812,26.304717503905213,1
17,OECD37 as Home,purete,1.7000000000000002,1.1903910595082827,0.0,0.5,1.1566522784390016,0.057913183842328936,0.7795968539285809,0.057913183842328936,1.7089643195536273,26.5467082675415,28.255672587095127,2.1229998157445134,1.8174699673010657,7.352457774351336,0.8619856406044019,2.078644643905596,0.8619856406044019,0.0,14.022114721606625,16.496,6.840666666666666,0.0,6.840666666666666,74.84466666666665,118.11933333333333,55.41093333333331,108.60846666666664,11.226699999999997,17.7179,-3.0821038756557884,2.4232113936853383,0.4118088665819417,-0.6341462717293652,-0.5910873423798833,2.2153782675414995,-3.411470667186716,-3.1798296704879085,-5.379627412904874,0.0,-1.9566103212885932,-3.0879088255283538,-0.44044515342536467,-0.3770588356425199,0.0,0.0,5.267223602693508,-6.951905707707081,1.7089643195536273,26.5467082675415,1
18,OECD37 as Home,purete,1.8,1.2179329213060839,0.0,0.5,1.2111784123141125,0.057913183842328936,0.7795968539285809,0.057913183842328936,0.7646544027374269,26.85205536145304,27.616709764190468,2.074991122901816,1.7763704077232028,7.186192151382383,0.842493032292479,2.0316389816825944,0.842493032292479,0.0,13.705024068238577,16.496,6.840666666666666,0.0,6.840666666666666,74.84466666666665,118.11933333333334,55.41093333333331,108.60846666666666,11.226699999999997,17.7179,-3.0996017116536527,2.790890743149064,0.41882322316199144,-0.6341462689463631,-0.5910873397858492,2.5207253614530387,-3.8166665423556267,-3.5575124917457437,-6.018590235809533,0.0,-2.21340110449577,-3.493174256847124,-0.49825035596227674,-0.42654504792829434,0.0,0.0,6.026885853895149,-8.447709206706577,0.7646544027374269,26.85205536145304,1
19,OECD37 as Home,purete,1.9000000000000001,1.2409462502012947,0.0,0.5,1.26666666665279,0.057913183842328936,0.7795968539285809,0.057913183842328936,0.0,27.10455831169588,27.10455831169588,2.0365104448239086,1.743427646160385,7.052924329784858,0.8268690121216414,1.993962268388841,0.8268690121216414,0.0,13.45086461020565,16.495999999999995,6.840666666666666,0.0,6.840666666666666,74.84466666666665,118.11933333333333,55.410933333333325,108.60846666666666,11.2267,17.7179,-3.101323333333333,3.1013233334204457,0.4246421683868527,-0.6341462689700347,-0.5910873398079135,2.7732283116958776,-4.141445475245124,-3.860238731512325,-6.530741688304122,0.0,-2.4235548093049495,-3.824837374810422,-0.5455572620694825,-0.4670438178566497,0.0,0.0,6.877465252900539,-9.701417064847998,0.0,27.10455831169588,1
