,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Ced_prime,Cedstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,delta_UCed,delta_UCedstar,leak,leakstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,Qe2_prime,Qe2star_prime,region_scenario,conv
120,Unilateral,US as Home,2,0.982211354,1.334362301,0.03858351,2,0.023687813,0.740153431,0.011422456,2.650863436,27.90401852,30.55488196,0.463658905,3.682099566,1.490995121,0.262497562,0.523445479,0.119708862,0.1427887,24.1321862,8.084,1.848762626,1.98518882,3.833951447,31.11066667,161.8533333,23.01853796,141.1878746,4.6666,24.12047036,-1.290735501,-1.010837458,-0.331085413,-1.29562555,0.059142404,-1.019881478,-3.991068319,0.18218333,-3.080418042,0.169282942,-3.920360336,0.12573848,-0.902339827,0.064913506,0,0,11.71092971,-8.092040597,2.650863436,27.90401852,0,0,1,1
126,Unilateral,US as Home,2.1,0.982835364,1.402108535,0.038278045,2.1,0.024077416,0.740153431,0.011231293,2.514951759,27.93948529,30.45443705,0.450366988,3.67976177,1.448252096,0.260374482,0.508439633,0.114331125,0.146043356,24.1072405,8.084,1.817822131,2.079187855,3.897009986,31.11066667,161.8533333,23.09154501,141.1342748,4.6666,24.1096584,-1.33159328,-0.975990531,-0.309480392,-1.267272412,0.04802997,-0.984414713,-4.031019866,0.152776753,-3.180862954,0.176269531,-4.056094863,0.102495536,-0.933581514,0.062616567,0,0,12.71721988,-8.753911791,2.514951759,27.93948529,0,0,1,1
132,Unilateral,US as Home,2.2,0.983572055,1.470123578,0.037799695,2.2,0.02447788,0.740153431,0.01104841,2.373047721,27.98138544,30.35443317,0.437747855,3.677005646,1.407672556,0.258513593,0.494193324,0.109318083,0.14919551,24.07929943,8.084,1.788222013,2.173604481,3.961826493,31.11066667,161.8533333,23.16711081,141.0791808,4.6666,24.09870386,-1.369789387,-0.93479414,-0.287276078,-1.241503375,0.036642348,-0.942514556,-4.073207249,0.120218665,-3.280866835,0.183141151,-4.188718269,0.076821221,-0.964107121,0.059906736,0,0,13.75573705,-9.44500986,2.373047721,27.98138544,0,0,1,1
138,Unilateral,US as Home,2.3,0.984428809,1.538441237,0.037298046,2.3,0.02488902,0.740153431,0.010873242,2.224210186,28.03015379,30.25436398,0.425745275,3.673805528,1.369075673,0.25688975,0.480643069,0.104635029,0.152254721,24.04820355,8.084,1.759870535,2.268500315,4.02837085,31.11066667,161.8533333,23.24523024,141.0226181,4.6666,24.08760889,-1.405230061,-0.886806059,-0.264348749,-1.217962529,0.024933576,-0.893746206,-4.117853384,0.084298825,-3.380936019,0.18990054,-4.318458383,0.04851633,-0.993969089,0.056757819,0,0,14.82638524,-10.16874883,2.224210186,28.03015379,0,0,1,1
144,Unilateral,US as Home,2.4,0.985416489,1.607102526,0.037268045,2.4,0.025310669,0.740153431,0.010705276,2.067220563,28.08642749,30.15364805,0.414307469,3.670123282,1.332294943,0.255479525,0.467730413,0.100251027,0.155228498,24.0137118,8.084,1.732684635,2.363931544,4.096616179,31.11066667,161.8533333,23.32590134,140.9646096,4.6666,24.07637499,-1.437806897,-0.83138082,-0.240538838,-1.196345255,0.012842928,-0.837472513,-4.165257789,0.044714604,-3.48165195,0.196550302,-4.445543175,0.017299747,-1.023219887,0.053131092,0,0,15.929293,-10.92954859,2.067220563,28.08642749,0,0,1,1
150,Unilateral,US as Home,2.5,0.986550963,1.676159468,0.036997897,2.5,0.025742678,0.740153431,0.010544046,1.90045523,28.15113447,30.0515897,0.403385962,3.665902862,1.297174485,0.254260473,0.455400631,0.096138259,0.158122214,23.97546619,8.084,1.706588947,2.459949275,4.166538222,31.11066667,161.8533333,23.4091247,140.9051758,4.6666,24.06500323,-1.467392052,-0.767580782,-0.215632812,-1.176387827,0.00028728,-0.772765532,-4.215833176,0.001029527,-3.583710302,0.203092907,-4.570209295,-0.017228532,-1.051913985,0.048969828,0,0,17.06477753,-11.73330594,1.90045523,28.15113447,0,0,1,1
156,Unilateral,US as Home,2.6,0.987855594,1.745680391,0.037302837,2.6,0.026184906,0.740153431,0.010389129,1.721666922,28.22563872,29.94730564,0.392934282,3.661061416,1.263564855,0.253210217,0.443601257,0.092271426,0.160938791,23.93293411,8.084,1.681515082,2.556599304,4.238114387,31.11066667,161.8533333,23.49490236,140.8443361,4.6666,24.05349439,-1.493831837,-0.69402993,-0.189333609,-1.157855522,-0.012850957,-0.69826128,-4.270164633,-0.047394257,-3.687994358,0.209530652,-4.692714312,-0.055647707,-1.080110668,0.044190338,0,0,18.23338069,-12.58815533,1.721666922,28.22563872,0,0,1,1
162,Unilateral,US as Home,2.7,0.989365716,1.815760656,0.037775653,2.7,0.02663722,0.740153431,0.010240141,1.527586844,28.312001,29.83958784,0.382906094,3.655473343,1.231317055,0.252305081,0.432279983,0.088627075,0.163678005,23.8853047,8.084,1.657400999,2.653921785,4.311322784,31.11066667,161.8533333,23.58323667,140.782109,4.6666,24.04184914,-1.516936756,-0.608651246,-0.161207957,-1.14052782,-0.026745146,-0.611899003,-4.329115315,-0.101516874,-3.795712159,0.215865632,-4.813358067,-0.098824175,-1.107878948,0.038665911,0,0,19.4360024,-13.50582729,1.527586844,28.312001,0,0,1,1
168,Unilateral,US as Home,2.8,0.99113779,1.886542793,0.038315702,2.8,0.027099475,0.740153431,0.010096738,1.313125439,28.4135123,29.72663774,0.373251989,3.648937652,1.200272199,0.251517598,0.421381027,0.085182701,0.166334897,23.83127672,8.084,1.634190695,2.751949692,4.386140387,31.11066667,161.8533333,23.67412808,140.718514,4.6666,24.03006835,-1.536465217,-0.508129476,-0.130578614,-1.124180591,-0.041668484,-0.510387702,-4.394042253,-0.16286803,-3.908662264,0.222099641,-4.932524411,-0.148132314,-1.135307177,0.032193935,0,0,20.67405705,-14.50440587,1.313125439,28.4135123,0,0,1,1
174,Unilateral,US as Home,2.9,0.993270703,1.958262711,0.038123397,2.9,0.027571502,0.740153431,0.009958611,1.06953394,28.53593477,29.60546871,0.363912529,3.641102056,1.170239153,0.250811046,0.410837289,0.081915099,0.168895947,23.7685648,8.084,1.611834361,2.850705134,4.462539495,31.11066667,161.8533333,23.76757074,140.6535748,4.6666,24.01815363,-1.55209441,-0.386661331,-0.096273318,-1.108557057,-0.058097247,-0.387965228,-4.467297914,-0.234122102,-4.029831288,0.228233957,-5.050777134,-0.20596776,-1.162525119,0.024419429,0,0,21.94961124,-15.6147099,1.06953394,28.53593477,0,0,1,1
