,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Cec_prime,Cecstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,delta_UCec,delta_UCecstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,Qe2_prime,Qe2star_prime,region_scenario,conv
44,purete,OECD37 as Home,2.2,1.2409462407430003,0.0,1.0,1.2409462407430003,0.057913510706746885,0.7795968539285809,0.05791351070674688,0.0,27.104558208402572,27.104558208402572,2.0365104603458666,1.743508243116618,7.052924383541123,0.8268690184239054,1.9939622835865036,0.8268690184239051,-1.9896413363026194e-16,13.45078412905789,16.496,6.840666666666665,0.0,6.840666666666666,74.84466666666665,118.11866666666666,55.41093333333332,108.60789999999997,11.2267,17.7178,-3.101323333333333,3.1013232052390003,0.42464214585403715,-0.901115642778481,-0.5910873117611598,2.7732282084025712,-5.884953587355605,-3.860238609401584,-6.530741791597428,0.0,-2.423554723736821,-3.8248156523487973,-0.5455572428075672,-0.4670653887853959,9.495184331010158,-9.701416551058049,0.0,27.104558208402572,0.0,0.0,3.0,1.0
46,purete,OECD37 as Home,2.3000000000000003,1.2409460285578615,0.0,1.0,1.2409460285578615,0.057913510706746885,0.7795968539285809,0.057913510706746885,0.0,27.10455589114478,27.10455589114478,2.0365108085618604,1.74350854123316,7.052925589496665,0.8268691598074253,1.9939626245273299,0.8268691598074253,0.0,13.4507864289617,16.496,6.840666666666666,0.0,6.840666666666666,74.84466666666665,118.11866666666667,55.410933333333325,108.6079,11.226700000000001,17.717800000000004,-3.101323333333333,3.1013203296468994,0.4246416403583298,-0.901114918670814,-0.5910866825670773,2.7732258911447794,-5.884950946510969,-3.860235869997716,-6.53074410885522,0.0,-2.4235528041217576,-3.8248126228427295,-0.5455568106902756,-0.4670650188388257,10.367775745624057,-9.701405024816511,0.0,27.10455589114478,0.0,0.0,3.0,1.0
48,purete,OECD37 as Home,2.4000000000000004,1.2409462494967296,0.0,1.0,1.2409462494967296,0.057913510706746885,0.7795968539285809,0.05791351070674688,0.0,27.10455830400138,27.10455830400138,2.036510445980167,1.7435082308177783,7.0529243337892575,0.8268690125911083,1.993962269520942,0.8268690125911082,-1.989641322267538e-16,13.450784034175035,16.496,6.840666666666665,0.0,6.840666666666666,74.84466666666665,118.11866666666664,55.41093333333332,108.60789999999997,11.2267,17.7178,-3.101323333333333,3.101323323871983,0.42464216670834376,-0.9011156726516572,-0.591087337718661,2.7732283040013783,-5.884953696304022,-3.860238722416078,-6.530741695998621,0.0,-2.4235548029308203,-3.824815777331512,-0.5455572606346284,-0.467065404047595,11.240329083675759,-9.701417026574841,0.0,27.10455830400138,0.0,0.0,3.0,1.0
50,purete,OECD37 as Home,2.5,1.24094622519334,0.0,1.0,1.24094622519334,0.057913510706746885,0.7795968539285809,0.05791351070674688,0.0,27.10455803858592,27.10455803858592,2.036510485864334,1.7435082649636249,7.052924471917697,0.8268690287849765,1.9939623085718212,0.8268690287849764,-1.9896413612337932e-16,13.450784297602759,16.495999999999995,6.840666666666665,0.0,6.840666666666666,74.84466666666663,118.11866666666663,55.41093333333331,108.60789999999996,11.226699999999997,17.717799999999997,-3.101323333333333,3.1013229945056646,0.42464210880955433,-0.9011155897133578,-0.5910872656516339,2.77322803858592,-5.88495339382542,-3.8602384086486374,-6.53074196141408,0.0,-2.423554583060816,-3.8248154303361557,-0.5455572111405214,-0.4670653616744349,12.112904045023448,-9.70141570637527,0.0,27.10455803858592,0.0,0.0,3.0,1.0
52,purete,OECD37 as Home,2.6,1.240946210560452,0.0,1.0,1.240946210560452,0.057913510706746885,0.7795968539285809,0.057913510706746885,0.0,27.104557878781264,27.104557878781264,2.036510509878292,1.7435082855225832,7.052924555083797,0.8268690385351832,1.9939623320840634,0.8268690385351832,0.0,13.45078445621062,16.496,6.840666666666666,0.0,6.840666666666666,74.84466666666665,118.11866666666666,55.410933333333325,108.6079,11.2267,17.7178,-3.101323333333333,3.1013227961966847,0.4246420739491298,-0.9011155397768322,-0.5910872222606202,2.773227878781263,-5.884953211705316,-3.860238219731613,-6.530742121218736,0.0,-2.423554450678735,-3.824815221412854,-0.5455571813404912,-0.46706533616187357,12.985478185100785,-9.701414911493115,0.0,27.104557878781264,0.0,0.0,3.0,1.0
54,purete,OECD37 as Home,2.7,1.2409462702557952,0.0,1.0,1.2409462702557952,0.057913510706746885,0.7795968539285809,0.057913510706746885,0.0,27.10455853070955,27.10455853070955,2.0365104119125728,1.743508201651647,7.052924215805003,0.8268689987588993,1.993962236165111,0.8268689987588993,0.0,13.45078380916472,16.496,6.840666666666666,0.0,6.840666666666666,74.84466666666665,118.11866666666666,55.41093333333332,108.60789999999999,11.226699999999996,17.717799999999997,-3.101323333333333,3.1013236052046356,0.4246422161633744,-0.9011157434945215,-0.5910873992756811,2.773228530709549,-5.884953954670168,-3.860238990424733,-6.530741469290451,0.0,-2.423554990735742,-3.8248160737222627,-0.5455573029106819,-0.4670654402411964,13.858045401947644,-9.70141815424102,0.0,27.10455853070955,0.0,0.0,3.0,1.0
56,purete,OECD37 as Home,2.8000000000000003,1.2409462307214163,0.0,1.0,1.2409462307214163,0.057913510706746885,0.7795968539285809,0.05791351070674689,0.0,27.10455809895762,27.10455809895762,2.0365104767922366,1.7435082571967722,7.052924440498848,0.8268690251015011,1.9939622996892645,0.8268690251015013,-1.9896413523704851e-16,13.450784237683195,16.496,6.840666666666667,0.0,6.840666666666666,74.84466666666667,118.11866666666666,55.410933333333325,108.6079,11.2267,17.7178,-3.101323333333333,3.1013230694236977,0.4246421219792781,-0.9011156085785959,-0.5910872820440803,2.7732280989576203,-5.884953462627539,-3.8602384800185305,-6.530741901042379,0.0,-2.423554633072701,-3.8248155092641203,-0.5455572223985065,-0.4670653713126815,14.73062188904167,-9.701416006669444,0.0,27.10455809895762,0.0,0.0,3.0,1.0
58,purete,OECD37 as Home,2.9000000000000004,1.2409465450355226,0.0,1.0,1.2409465450355226,0.057913510706746885,0.7795968539285809,0.057913510706746885,0.0,27.104561531557763,27.104561531557763,2.036509960973104,1.7435078155909336,7.052922654093419,0.8268688156673397,1.9939617946469794,0.8268688156673397,0.0,13.450780830790894,16.496,6.840666666666666,0.0,6.840666666666666,74.84466666666665,118.11866666666666,55.41093333333332,108.60789999999997,11.226699999999996,17.717799999999997,-3.101323333333333,3.1013273290964456,0.42464287078077634,-0.9011166812144372,-0.5910882140824125,2.7732315315577623,-5.884957374562125,-3.860242537950832,-6.530738468442237,0.0,-2.4235574766364616,-3.8248199969313776,-0.5455578625023959,-0.46706591932185176,15.603164296713166,-9.701433080720752,0.0,27.104561531557763,0.0,0.0,3.0,1.0
60,purete,OECD37 as Home,3.0,1.2409462542705505,0.0,1.0,1.2409462542705505,0.057913510706746885,0.7795968539285809,0.05791351070674688,0.0,27.104558356135914,27.104558356135914,2.036510438145874,1.7435082241106417,7.052924306657223,0.8268690094102095,1.9939622618503288,0.8268690094102094,-1.989641314613547e-16,13.450783982430947,16.496,6.840666666666665,0.0,6.840666666666666,74.84466666666667,118.11866666666667,55.410933333333325,108.60789999999999,11.226700000000001,17.7178,-3.101323333333333,3.101323388568137,0.42464217808118027,-0.9011156889429075,-0.5910873518745089,2.7732283561359132,-5.884953755718723,-3.8602387840481995,-6.530741643864086,0.0,-2.423554846119041,-3.824815845490477,-0.5455572703565645,-0.467065412370791,16.475765142945722,-9.70141728589658,0.0,27.104558356135914,0.0,0.0,3.0,1.0
62,purete,OECD37 as Home,3.1,1.2409462569189569,0.0,1.0,1.2409462569189569,0.057913510706746885,0.7795968539285809,0.057913510706746885,0.0,27.104558385058958,27.104558385058958,2.036510433799588,1.7435082203896761,7.052924291604992,0.8268690076455196,1.9939622575948484,0.8268690076455196,0.0,13.45078395372451,16.496000000000002,6.840666666666666,0.0,6.840666666666666,74.84466666666668,118.11866666666667,55.41093333333334,108.6079,11.2267,17.717799999999997,-3.101323333333333,3.101323424460079,0.424642184390569,-0.9011156979809203,-0.5910873597278496,2.7732283850589567,-5.88495378868064,-3.860238818240294,-6.530741614941043,0.0,-2.4235548700788785,-3.824815883303513,-0.5455572757500718,-0.46706541698830933,17.348337626911313,-9.701417429762373,0.0,27.104558385058958,0.0,0.0,3.0,1.0
