,region,tax_sce,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Ced_prime,Cedstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,delta_UCed,delta_UCedstar,leak,leakstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime
232,OECD and China as Home,Unilateral,3.2,1.0869653216423478,1.6239158835134873,0.0,3.2,0.18417079329966346,0.9029336683009846,0.0913584129350122,0.0,17.496755100760957,17.496755100760957,1.1181235069375743,1.52681963900415,6.576016671662019,0.6626942992342097,0.7069288009947436,0.31009300561803776,0.35260129361617193,6.906173281765915,12.776,5.604168671868142,5.693358911248679,11.297527583116821,131.62133333333333,61.34266666666666,111.19861794982828,53.39796822101737,19.743199999999998,8.730661541839709,-5.61769,0.7453786785986728,0.04427444389950212,-0.14089735428021197,-0.1093848789353346,0.7145251007609552,-2.273878278235191,-1.7653127799957247,-16.138544899239044,0.1830723290883004,-19.68937510080553,-1.7578773273686563,-3.0228364635951457,-0.13839355411469037,0.0,0.0,23.80312187150759,-15.433180002731358,0.0,17.496755100760957
233,OECD and China as Home,Unilateral,3.3000000000000003,1.0791499137755907,1.6670867058644254,0.0,3.3000000000000003,0.1860912393718079,0.9029336683009846,0.09035856890319552,0.0,17.433739766125992,17.433739766125992,1.1037286366086418,1.5378771557267745,6.491356160831028,0.6631356171329298,0.6978277058483061,0.3027508008449937,0.36038481628793606,6.9398143616973,12.775999999999996,5.542835572705755,5.872497293665938,11.415332866371692,131.62133333333327,61.342666666666666,111.33825478816217,53.29783373025072,19.743199999999998,8.709434649373268,-5.61769,0.6771295884669833,0.04021277930774976,-0.1381521745077274,-0.1061732845856711,0.6515097661259901,-2.2382807767276187,-1.720172865442997,-16.20156023387401,0.1881286302457249,-19.945202007376622,-1.7083448575176285,-3.062112616220233,-0.1264177303296851,0.0,0.0,25.031613507531837,-15.58881436519213,0.0,17.433739766125992
234,OECD and China as Home,Unilateral,3.4000000000000004,1.0715562084737837,1.7100241332953492,0.0,3.4000000000000004,0.1880477169452398,0.9029336683009846,0.08938443396293255,0.0,17.372293067973104,17.372293067973104,1.0897042787094795,1.5487754976136676,6.408874743722788,0.6637836946035971,0.6889608655995665,0.29568152978224876,0.3681021648213483,6.972193971925325,12.775999999999998,5.483079537776851,6.052268880222677,11.535348417999527,131.62133333333333,61.34266666666667,111.48128349787875,53.19582051136707,19.743199999999995,8.688001828033556,-5.61769,0.6110528308042182,0.036282531910570896,-0.13551427937482702,-0.10307115054820284,0.5900630679731016,-2.2038696648614415,-1.6762468358574107,-16.263006932026897,0.19314161493023907,-20.197673349552755,-1.6597822255247607,-3.1008736015351803,-0.11469826242215941,0.0,0.0,26.26483748060589,-15.745239585592701,0.0,17.372293067973104
235,OECD and China as Home,Unilateral,3.5,1.0641730233915205,1.7527390028996388,0.0,3.5,0.19003973339926575,0.9029336683009846,0.08843493576333326,0.0,17.312340749985314,17.312340749985314,1.0760364440599333,1.5595208330980355,6.328490145810965,0.6646306440819367,0.6803194356492548,0.28887136351365317,0.3757592805682835,7.003342720855689,12.776000000000002,5.424834786218232,6.232709233115125,11.657544019333358,131.62133333333333,61.342666666666666,111.62770097468425,53.09195425023331,19.7432,8.666366504702504,-5.61769,0.5470319992986984,0.03247638751440458,-0.1329793805859723,-0.10007412117768229,0.5301107499853117,-2.17061701039702,-1.6335058019643398,-16.322959250014687,0.1981117061402291,-20.446872501391265,-1.6121459163328504,-3.1391322196486424,-0.10322379029204887,0.0,0.0,27.502673621680113,-15.902415757233706,0.0,17.312340749985314
236,OECD and China as Home,Unilateral,3.6,1.0569896333961708,1.7952417850647184,0.0,3.6,0.19206685448424907,0.9029336683009846,0.08750904872634549,0.0,17.25381085395415,17.25381085395415,1.0627118053540099,1.57011946717737,6.250123985247884,0.6656691994913309,0.6718949898652055,0.28230730358657136,0.3833618959047595,7.033291349568276,12.776,5.368038406337303,6.413854626005163,11.781893032342467,131.62133333333333,61.34266666666666,111.77750809551502,52.98625758917557,19.743199999999998,8.64453135590966,-5.61769,0.48495640306928883,0.028787422788603897,-0.1305433330464548,-0.09717797750684222,0.4715808539541477,-2.138494193389148,-1.5919199837630238,-16.38148914604585,0.2030394034340961,-20.69288033395175,-1.5653926718148228,-3.1769008863933474,-0.09198316282482918,0.0,0.0,28.745014827652366,-16.060306188519085,0.0,17.25381085395415
237,OECD and China as Home,Unilateral,3.7,1.0499962050260474,1.837542025513138,0.0,3.7,0.19412865091505016,0.9029336683009846,0.08660581439144308,0.0,17.196637378649672,17.196637378649672,1.0497177034549627,1.5805771411896001,6.173701809887805,0.6668924694515899,0.6636795245624,0.2759772085831818,0.39091526086840817,7.062068030318557,12.776,5.312631603609496,6.59573751992212,11.908369123531617,131.62133333333333,61.34266666666666,111.93070584013418,52.8787529116648,19.743199999999998,8.622498912410279,-5.61769,0.424724662263743,0.025209312229052223,-0.12820235760494786,-0.09437886735537929,0.4144073786496705,-2.1074753039294443,-1.5514623590402543,-16.43866262135033,0.20792515392612598,-20.935774487185963,-1.5194831523472643,-3.2141915215420696,-0.08096615821734807,0.0,0.0,29.991751311064696,-16.218881994830173,0.0,17.196637378649672
238,OECD and China as Home,Unilateral,3.8000000000000003,1.0431832213436354,1.8796489221803474,0.0,3.8000000000000003,0.1962247488353358,0.9029336683009846,0.08572431370677597,0.0,17.14075570996462,17.14075570996462,1.0370421054510104,1.5908998208985858,6.0991528506001345,0.6682941421439696,0.6556654319838726,0.26986965429718884,0.39842448784678075,7.089701449128532,12.776000000000002,5.258558000943523,6.7783913586128675,12.036949359556392,131.62133333333333,61.34266666666667,112.087299066594,52.76945971104374,19.7432,8.600271036902264,-5.61769,0.3662395859284006,0.02173601790145898,-0.12595275513274287,-0.09167301389116875,0.3585257099646171,-2.0775332979890084,-1.5121045878289117,-16.494544290035382,0.21276947865206552,-21.175629542307785,-1.4743776447405075,-3.251015575270937,-0.07016262412420125,0.0,0.0,31.24278831607202,-16.378115313127758,0.0,17.14075570996462
239,OECD and China as Home,Unilateral,3.9000000000000004,1.0365419745408664,1.9215711415035175,0.0,3.9000000000000004,0.198354784751747,0.9029336683009846,0.08486368298865139,0.0,17.08610675421573,17.08610675421573,1.02467345942917,1.6010929038692474,6.026409167151174,0.6698681841775552,0.6478454084820894,0.2639739124296763,0.4058942717478789,7.116217639765692,12.776000000000002,5.205764617678514,6.961846825086321,12.167611442764835,131.62133333333333,61.342666666666666,112.24729321593992,52.65839694031655,19.743199999999998,8.577849426129426,-5.61769,0.3094122774102686,0.01836202826945284,-0.12379117322863106,-0.0890569860596043,0.3038767542157288,-2.0486440478829717,-1.4738212721875072,-16.54919324578427,0.21757286752735094,-21.41251923353468,-1.4300403087812592,-3.2873843677198713,-0.05956329044266969,0.0,0.0,32.498025161382216,-16.537987484915256,0.0,17.08610675421573
240,OECD and China as Home,Unilateral,4.0,1.0300640577959639,1.9633170454180835,0.0,4.0,0.20051844310815808,0.9029336683009846,0.08402309442485002,0.0,17.0326328713893,17.0326328713893,1.012600766653285,1.6111619344830441,5.955406072704554,0.6716090546565543,0.6402125001531969,0.2582798762946326,0.41332917836192173,7.141642834645675,12.776,5.154200673605434,7.146135342497277,12.300336016102712,131.62133333333333,61.342666666666666,112.41069716675277,52.54558105297936,19.743199999999998,8.555235229294361,-5.61769,0.2541576434840602,0.015082087079719184,-0.12171434354879954,-0.08652743351934798,0.25040287138929784,-2.020782730718084,-1.4365861762147265,-16.6026671286107,0.22233586838443742,-21.646514613298205,-1.3864352405688212,-3.3233088073041954,-0.04915899889180611,0.0,0.0,33.757373418060574,-16.6984811403009,0.0,17.0326328713893
241,OECD and China as Home,Unilateral,4.1000000000000005,1.0237417023452569,2.0048943140364255,0.0,4.1000000000000005,0.20271541174235513,0.9029336683009846,0.08320177058702904,0.0,16.98028073484384,16.98028073484384,1.000813562146455,1.6211120404669217,5.886082019620737,0.6735114927338202,0.6327600905603463,0.25277807162648763,0.4207334211073324,7.166001339583783,12.775999999999998,5.103818479196594,7.33128545151078,12.435103930707374,131.6213333333333,61.34266666666666,112.5775199312636,52.431028325565386,19.743199999999995,8.532429531031346,-5.61769,0.20039716859646678,0.011891354293307834,-0.11971925685852718,-0.08408126732973466,0.1980507348438394,-1.9939265293889488,-1.4003751272154759,-16.65501926515616,0.2270589888295681,-21.87768391750238,-1.3435293850276988,-3.3587993700282373,-0.038941270951363224,0.0,0.0,35.02074356097678,-16.859584086370372,0.0,16.98028073484384
