,tax_sce,regionbase,pe,tb,region,varphi,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,CeHH_prime,CeFH_prime,CeHF_prime,CeFF_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,VgFH_prime,VgHF_prime,VgFH1_prime,VgFH2_prime,CeFH1_prime,CeFH2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality
140,Unilateral,US as Home,1.045575404,0.72666549,1,2,0.017224661,0.793578719,0.011650365,0,28.42229473,28.42229473,2.59468282,0.261925323,0.674914457,24.89092657,2.856608143,3.269597276,25.56584102,25.15285189,3.040896118,7.483636289,2.056792281,0.984103837,0.174084033,0.08784129,38.63009333,176.5431669,28.68805403,154.2548925,5.794514,26.42570415,-1.493348267,0.640568768,0.162531981,-0.438577484,-0.344765742,0.626348727,-1.690143976,-1.32862211,-3.853695273,-2.170517042,0.094406861,9.907557961,-10.04422129
147,Unilateral,US as Home,1.043817743,0.761827664,1,2.1,0.017338127,0.793578719,0.011510567,0,28.39839508,28.39839508,2.546681081,0.25919121,0.662428512,24.92996122,2.805872292,3.209109593,25.59238973,25.18915243,3.060927765,7.469416968,2.032111904,1.028815861,0.168813203,0.090378007,38.63009333,176.5431669,28.70965904,154.2378656,5.794514,26.42149082,-1.493348267,0.615600889,0.155366687,-0.429027607,-0.333279158,0.602449078,-1.663595269,-1.29232157,-3.877594922,-2.264406225,0.09867451,10.90692783,-10.1723631
154,Unilateral,US as Home,1.042113762,0.796901694,1,2.2,0.01745496,0.793578719,0.011375191,0,28.37520611,28.37520611,2.500470013,0.256630607,0.650408346,24.96775582,2.75710062,3.150878359,25.61816417,25.22438643,3.08155394,7.455761821,2.008212288,1.073341653,0.163800604,0.092830002,38.63009333,176.5431669,28.73198703,154.2203333,5.794514,26.4172132,-1.493348267,0.591415592,0.148498385,-0.419869667,-0.322265372,0.579260109,-1.637820833,-1.257087572,-3.900783891,-2.358198534,0.102901352,11.9146271,-10.30050174
161,Unilateral,US as Home,1.040477542,0.83192527,1,2.3,0.017575136,0.793578719,0.011243941,0,28.35292145,28.35292145,2.455883408,0.254227078,0.638810726,25.00396063,2.710110485,3.094694134,25.64277135,25.2581877,3.102770242,7.442630547,1.985040984,1.117729258,0.159023553,0.095203525,38.63009333,176.5431669,28.75503814,154.2022995,5.794514,26.41287277,-1.493348267,0.568210673,0.141974437,-0.4112122,-0.311818741,0.556975447,-1.613213649,-1.223286297,-3.923068553,-2.452039495,0.10709036,12.92683513,-10.43075311
168,Unilateral,US as Home,1.038894854,0.86689339,1,2.4,0.017698573,0.793578719,0.011116616,0,28.33134918,28.33134918,2.412861458,0.251973961,0.627620096,25.03890613,2.66483542,3.040481554,25.66652622,25.29088009,3.124562085,7.429993621,1.962562585,1.1619995,0.154468572,0.09750539,38.63009333,176.5431669,28.77880141,154.1837764,5.794514,26.40847295,-1.493348267,0.545782288,0.13572926,-0.40294132,-0.301825684,0.535403181,-1.589458778,-1.190593912,-3.944640819,-2.545875042,0.11124202,13.94544527,-10.56171388
175,Unilateral,US as Home,1.037367497,0.90179756,1,2.5,0.017825138,0.793578719,0.01099308,0,28.31051551,28.31051551,2.371331405,0.249862478,0.616817529,25.07254098,2.621193883,2.988148934,25.68935851,25.32240346,3.146906331,7.41782879,1.940753198,1.206153133,0.150122847,0.099739631,38.63009333,176.5431669,28.80325632,154.1647838,5.794514,26.40401871,-1.493348267,0.524154203,0.129762405,-0.395066591,-0.292290505,0.514569507,-1.566626489,-1.159070541,-3.965474493,-2.63968637,0.115355066,14.96941024,-10.69370856
182,Unilateral,US as Home,1.035891331,0.936656683,1,2.6,0.01795482,0.793578719,0.010873099,0,28.29036552,28.29036552,2.331199528,0.247883748,0.606378649,25.10495467,2.579083276,2.937578177,25.71133332,25.35283842,3.169800708,7.406104719,1.919571296,1.250229412,0.14597145,0.101912298,38.63009333,176.5431669,28.82840504,154.1453236,5.794514,26.39951068,-1.493348267,0.503266135,0.124050703,-0.387555748,-0.283176597,0.49441952,-1.544651677,-1.128635578,-3.98562448,-2.733514964,0.119431925,15.99862966,-10.82663347
189,Unilateral,US as Home,1.034467538,0.97147074,1,2.7,0.018087529,0.793578719,0.010756528,0,28.27091681,28.27091681,2.292395061,0.246029916,0.596285047,25.13611073,2.538424977,2.888680108,25.73239578,25.38214065,3.193229632,7.394799858,1.898991575,1.294238057,0.142002742,0.104027174,38.63009333,176.5431669,28.85423502,154.125409,5.794514,26.39495206,-1.493348267,0.483133238,0.118592294,-0.380414826,-0.274485209,0.474970815,-1.523589218,-1.099333349,-4.005073185,-2.827364093,0.123472356,17.03214397,-10.96079425
196,Unilateral,US as Home,1.033085157,1.006234506,1,2.8,0.018223205,0.793578719,0.010643214,0,28.25202099,28.25202099,2.254871113,0.244296166,0.586524526,25.16626776,2.499167279,2.84139564,25.75279229,25.41056393,3.217182305,7.383892116,1.878986633,1.338195672,0.138206874,0.106089292,38.63009333,176.5431669,28.88073885,154.1050492,5.794514,26.39034495,-1.493348267,0.463599181,0.113339588,-0.373559714,-0.266132783,0.456074988,-1.503192712,-1.070910073,-4.023969012,-2.921188271,0.127476845,18.0715594,-11.09511571
203,Unilateral,US as Home,1.031739049,1.040941561,1,2.9,0.018361769,0.793578719,0.010533026,0,28.23360882,28.23360882,2.21857771,0.242677098,0.577084088,25.19554563,2.461254808,2.795661798,25.77262972,25.43822273,3.241644921,7.373362522,1.859533718,1.382111203,0.134574549,0.10810255,38.63009333,176.5431669,28.90790566,154.084256,5.794514,26.38569197,-1.493348267,0.444590239,0.108268568,-0.366950867,-0.2580784,0.437662823,-1.483355278,-1.043251268,-4.042381177,-3.014954999,0.131445261,19.11741618,-11.22914788
210,Unilateral,US as Home,1.030451181,1.075631,1,3,0.018503218,0.793578719,0.01042579,0,28.21598202,28.21598202,2.183392007,0.241160513,0.567931779,25.22340021,2.42455252,2.751323786,25.79133199,25.46456073,3.266616651,7.363188306,1.840602032,1.42601462,0.131091895,0.110068618,38.63009333,176.5431669,28.93573887,154.06303,5.794514,26.38099317,-1.493348267,0.426415329,0.103456944,-0.360751263,-0.250470757,0.420036018,-1.464653007,-1.016913273,-4.060007982,-3.108835912,0.135379438,20.16412414,-11.36576234
217,Unilateral,US as Home,1.029191282,1.110263138,1,3.1,0.01864745,0.793578719,0.010321418,0,28.19872737,28.19872737,2.149334408,0.239748264,0.559072906,25.25056665,2.389082672,2.708407314,25.80963955,25.49031491,3.29207982,7.353355294,1.82217579,1.46990403,0.127755173,0.111993091,38.63009333,176.5431669,28.96422307,154.0413863,5.794514,26.37625174,-1.493348267,0.408646122,0.098787202,-0.354734433,-0.243094247,0.402781366,-1.446345448,-0.99115909,-4.077262634,-3.202634382,0.139278404,21.21787245,-11.50147593
224,Unilateral,US as Home,1.027972187,1.144866922,1,3.2,0.018794467,0.793578719,0.010219753,0,28.18202147,28.18202147,2.116310859,0.238431274,0.550483004,25.27672456,2.354742133,2.666793863,25.82720756,25.51515583,3.318034747,7.343843551,1.804227606,1.51380714,0.124553235,0.113878039,38.63009333,176.5431669,28.99336285,154.0193246,5.794514,26.37146742,-1.493348267,0.391462746,0.094303478,-0.348995706,-0.236034586,0.386075472,-1.428777436,-0.966318166,-4.093968528,-3.296467841,0.143143886,22.27513645,-11.63806136
231,Unilateral,US as Home,1.026784683,1.179433207,1,3.3,0.018944218,0.793578719,0.010120691,0,28.16573896,28.16573896,2.084292318,0.23720672,0.54215452,25.3020956,2.321499039,2.626446838,25.84425012,25.53930232,3.344472162,7.33463829,1.786738924,1.557733238,0.121479769,0.115726952,38.63009333,176.5431669,29.02315202,153.9968528,5.794514,26.36664171,-1.493348267,0.37473445,0.089968462,-0.343466827,-0.229224851,0.369792964,-1.41173488,-0.942171679,-4.110251036,-3.390284697,0.146976016,23.33750584,-11.77457376
238,Unilateral,US as Home,1.025633464,1.213963189,1,3.4,0.01909663,0.793578719,0.010024146,0,28.14994499,28.14994499,2.053228198,0.236069048,0.534074293,25.32656063,2.289297245,2.587302491,25.86063492,25.56262968,3.371379507,7.325726801,1.769694455,1.601685052,0.118527668,0.11754138,38.63009333,176.5431669,29.05358054,153.9739816,5.794514,26.36177664,-1.493348267,0.358526528,0.085796201,-0.338181012,-0.222693723,0.353998988,-1.395350079,-0.918844325,-4.126045012,-3.484101505,0.150774419,24.40342925,-11.91166232
245,Unilateral,US as Home,1.024512073,1.248457875,1,3.5,0.019251689,0.793578719,0.009930001,0,28.13455171,28.13455171,2.023081302,0.235015074,0.526232651,25.35027415,2.258096375,2.549313952,25.8765068,25.58528922,3.398754111,7.317094037,1.753073793,1.645680318,0.115690517,0.119324556,38.63009333,176.5431669,29.08464947,153.9507132,5.794514,26.35687243,-1.493348267,0.342747294,0.081760413,-0.333091574,-0.216394574,0.338605705,-1.3794782,-0.896184777,-4.141438295,-3.57790294,0.154540069,25.47389693,-12.04875324
252,Unilateral,US as Home,1.023418523,1.282912777,1,3.6,0.019409338,0.793578719,0.009838174,0,28.11953249,28.11953249,1.993817193,0.234041259,0.518620633,25.37328232,2.227858452,2.512437826,25.89190295,25.60732358,3.426586043,7.308728296,1.736862312,1.689723731,0.112962672,0.121078587,38.63009333,176.5431669,29.11635153,153.927056,5.794514,26.35193054,-1.493348267,0.327368141,0.077851509,-0.328183807,-0.210311406,0.323586491,-1.36408205,-0.874150424,-4.156457509,-3.671670813,0.158272859,26.54897718,-12.18571517
