regionbase,tax_sce,region_scenario,tb,prop,te,varphi,pe,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,CeHH_prime,CeFH_prime,CeHF_prime,CeFF_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,VgFH_prime,VgHF_prime,VgFH1_prime,VgFH2_prime,CeFH1_prime,CeFH2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality,prop2,-175.3079902
US and EU as Home,purete,7,0,1,1.130249993,2,1.130249993,0.033280434,0.792002901,0.033280434,0,28.5558989,28.5558989,6.838200526,0.663027414,1.795859422,19.25941175,7.50122794,8.634059948,21.05527117,19.92243916,4.995911533,13.53180067,4.995911533,0,0.663027414,0,65.05764133,150.1155782,48.04348937,134.8537472,9.7586462,22.51733673,-1.805275133,1.805048517,0.455833388,-0.73719963,-0.697536583,1.695739904,-2.742446832,-2.59489684,-3.720087096,-0.650717445,0,5.362253324,-6.074027167,,
US as Home,puretc,1,0.719738403,-70.99884033,0.719738403,2,0.947644912,0.015920602,0.793578719,0.011395102,4.361191677,27.05853485,31.41972652,2.757855951,0.444893466,0.717358144,27.49961896,3.202749418,3.475214095,28.21697711,27.94451243,2.810673533,7.457763128,2.011727407,0.798946127,0.180977648,0.075182463,38.63009333,176.5431669,28.4466895,154.4505817,5.794514,26.48147503,-0.115727899,-0.718021039,-0.861196551,1.122308886,1.708631131,-0.737411152,0.960992107,1.46303843,-0.856263475,-1.875796622,0.102273759,2.608975558,-1.824166821,,
EU28 as Home,puretc,2,0.701751451,-69.20248885,0.701751451,2,0.965226732,0.017931574,0.744319382,0.012984354,0.91936714,30.7904802,31.70984734,1.770017826,0.525965551,0.608017555,28.8058464,2.295983377,2.378035381,29.41386396,29.33181196,3.384506733,6.330336132,2.45074049,0.933766243,0.220525426,0.087752379,26.427554,188.7456601,19.59679029,163.3004417,3.9641331,28.31184901,-0.016127813,-0.540135803,-0.971002052,1.052992842,1.801615084,-0.549721804,0.59613996,1.019963955,-0.566138663,-2.257392153,0.098331392,2.515685741,-1.768771894,,
OECD37 as Home,puretc,3,0.816979675,-80.64796753,0.816979675,2,0.855616795,0.049234334,0.819497854,0.033476487,7.978544618,21.87661038,29.85515499,6.75217735,1.064236906,1.487230868,20.55150987,7.816414256,8.239408218,22.03874074,21.61574678,6.070526467,15.36854327,4.127605339,1.942921128,0.370167468,0.183869876,91.87470067,123.2986398,69.1573995,113.7399399,13.7812051,18.49479597,-0.599639409,-1.644169251,-0.732757317,0.812520389,1.289198805,-1.773892623,1.966986739,3.120951776,-2.420846005,-4.083014672,0.125282655,3.135472085,-2.134413978,,
World as Home,puretc,4,1.752320849,-174.1814981,1.752320849,2,0.257971578,0.299999993,0.999067628,0.111134028,16.3424803,0.050790903,16.3932712,15.9907084,0.116291877,0.014923202,0.271347722,16.10700028,16.0056316,0.286270923,0.387639598,0.199999993,0.173849756,0.074089351,0.125910642,0.005528252,0.011211514,214.5066667,0.66666666,182.3306667,0.566666661,32.176,0.099999999,-9.320034522,-0.028965797,-0.003098277,0.011727891,0.018110212,-0.049209097,0.186270923,0.287639598,-15.8827298,-0.202058479,0.50468161,8.75594348,-6.052668802,,
China as Home,puretc,5,0.742968822,-73.36875725,0.742968822,2,0.925190149,0.079651738,0.920722353,0.057282352,7.235887308,23.80935651,31.04524381,4.403335608,2.091874845,0.379143709,24.17088965,6.495210454,4.782479318,24.55003336,26.2627645,12.90254667,3.934787911,9.278996659,3.623550007,0.834362625,0.341433024,53.18623853,161.9870067,52.59145953,130.3057989,7.97793578,24.298051,-0.276057514,-0.908354635,-0.766924574,1.263372885,1.596358793,-0.943889494,1.55489136,1.964712496,-1.230746186,-8.620952311,0.107506762,2.731446985,-1.896615235,,
OECD and China as Home,puretc,6,0.969860324,-95.93017302,0.969860324,2,0.722048156,0.131400011,0.92389583,0.083207103,13.72171552,13.70430702,27.42602255,11.88195475,1.913882459,0.978753532,12.6514318,13.79583721,12.86070828,13.63018533,14.56531426,9.212768667,10.09048845,5.833848737,3.37891993,0.517213148,0.320904575,145.0609427,70.11238867,121.7488734,61.14845827,21.7591414,10.5168583,-2.080168537,-2.077529463,-0.499682834,0.585421432,0.834736958,-2.423450979,2.839281334,4.048456261,-4.849978455,-6.374392761,0.167693933,4.02617914,-2.660636315,,
US and EU as Home,puretc,7,0.763570075,-75.4202223,0.763570075,2,0.905519775,0.033280434,0.792002901,0.023297101,5.153634611,25.55980573,30.71344034,4.630593196,0.827576328,1.216093969,24.03917685,5.458169524,5.846687165,25.25527082,24.86675317,4.995911533,12.6032277,3.497257749,1.498653784,0.314296239,0.141426261,65.05764133,150.1155782,48.04348937,134.8537472,9.7586462,22.51733673,-0.249702449,-1.238416492,-0.832201775,0.932806543,1.503583053,-1.300353271,1.457552816,2.349417175,-1.56254566,-3.342713695,0.112283631,2.841808672,-1.961764468,,
US as Home,puretp,1,0.533346863,-52.35968628,0.533346863,2,0.965497042,0.012273342,0.747014008,0.012273342,4.402078986,27.31221567,31.71429465,2.887947912,0.216844603,1.518317313,27.09118483,3.104792515,4.406265224,28.60950214,27.30802943,2.166774742,9.772872497,2.166774742,0,0.216844603,0,38.63009333,176.5431669,26.37039624,156.5268749,5.794514,26.48147503,-0.076616853,-0.475360853,-0.861196973,2.409699748,1.471536895,-0.483730333,1.353517138,0.826555428,-0.561695348,-1.402087361,0.076520421,1.762584128,-1.145487421,,
EU28 as Home,puretp,2,0.491989441,-48.19894409,0.491989441,2,0.978072638,0.014097173,0.695096544,0.014097173,0.925464707,30.9946935,31.92015821,1.874380176,0.271496722,1.235775172,28.53850614,2.145876898,3.110155348,29.77428131,28.81000286,2.660780239,8.057852551,2.660780239,0,0.271496722,0,26.427554,188.7456601,17.87590944,165.0213225,3.9641331,28.31184901,-0.010203158,-0.341713457,-0.970999193,2.688259104,1.399988605,-0.345508501,0.956557308,0.498154857,-0.355827794,-1.59092827,0.070159185,1.634820846,-1.058033766,,
