,tax_sce,regionbase,pe,tb,region,varphi,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,CeHH_prime,CeFH_prime,CeHF_prime,CeFF_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,VgFH_prime,VgHF_prime,VgFH1_prime,VgFH2_prime,CeFH1_prime,CeFH2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality
3031,Unilateral,China as Home,0.06344123173851698,20.242227646295973,5.0,50.5,0.999935428356807,0.920722352568248,0.0027096752936795446,0.0,6.234734455617731,6.234734455617731,0.36174448840470863,5.817118205487699,0.03114755705901282,0.02473099964267716,6.178862693892407,0.3928920454637215,0.05587855670168998,5.841849205130376,161.97654689947026,3.5859839260521356,0.43893218986177024,161.53761470960848,0.003242435837732354,5.813875769649966,53.18624199999999,161.9870133333333,710.9736594617765,3.5928986887835856,7.97793578,0.4362482335600341,-2.5075814,-8.11923558885768,-0.7111220698564652,-0.8808816227851528,-0.7087293761014941,-18.51851154438227,-22.939263443298312,-18.456202794869622,-26.04125554438227,-249.0922936300543,0.979533603571794,1567.6497571271516,-904.9509673070073
3037,Unilateral,China as Home,0.06328027407671911,20.280048103099965,5.0,50.6,0.9999363662309272,0.920722352568248,0.0027025614076498956,0.0,6.226820315415542,6.226820315415542,0.36107482825872905,5.810229888461594,0.03108989680909711,0.024433784284481615,6.171304716720323,0.3921647250678262,0.055523681093578726,5.834663672746076,161.9766988228916,3.5859752638577627,0.4377798327580596,161.53891899013354,0.003227936633386952,5.807001951828206,53.18624199999999,161.9870133333333,711.4209774178781,3.592769553875436,7.97793578,0.4346818265556941,-2.5075814,-8.119737034604674,-0.7112098354347219,-0.8806276206370514,-0.7087898981356132,-18.52642568458446,-22.939618318906422,-18.463388327253924,-26.04916968458446,-249.5781970751797,0.979621766329256,1572.5467898218624,-905.7031042766412
3043,Unilateral,China as Home,0.06312003759772249,20.317867588728515,5.0,50.7,0.9999372888125736,0.920722352568248,0.002695479688323624,0.0,6.218931631261213,6.218931631261213,0.36040764729731856,5.803361693496162,0.031032450026270187,0.024140664174956486,6.16376934079348,0.39144009732358875,0.05517311420122667,5.8275023576711185,161.97684826913093,3.5859666560790737,0.4366326862423434,161.54021558288858,0.003213529399907558,5.800148164096254,53.18624199999999,161.9870133333333,711.8676711086986,3.592642524572024,7.977935780000001,0.4331242327568253,-2.5075814,-8.120235600539042,-0.7112972656566178,-0.8803744674924759,-0.7088501465111041,-18.534314368738787,-22.939968885798773,-18.47054964232888,-26.057058368738787,-250.06409729476346,0.979709388572566,1577.4453639187734,-906.4542492463315
3049,Unilateral,China as Home,0.06296068930959214,20.35572056824682,5.0,50.800000000000004,0.9999381961659743,0.920722352568248,0.002688431586478353,0.0,6.2110767378345555,6.2110767378345555,0.3597423216194062,5.7965027936196,0.030975162990310112,0.023851592598781637,6.156245115239006,0.39071748460971634,0.05482675558909175,5.820354386218381,161.9769952485923,3.5859581042800137,0.43549098532174624,161.54150426327055,0.003199209928118516,5.793303583691481,53.18624199999999,161.9870133333333,712.3136382582387,3.5925175920298553,7.97793578,0.43157574751835887,-2.5075814,-8.120730775743722,-0.7113842687932652,-0.8801224471254985,-0.7089107655156843,-18.542169262165444,-22.94031524441091,-18.47769761378162,-26.064913262165444,-250.55044113074692,0.9797964541291986,1582.3447111589583,-907.2043600425843
3055,Unilateral,China as Home,0.06280213742380919,20.393566252354514,5.0,50.900000000000006,0.9999390884411941,0.920722352568248,0.002681417911620913,0.0,6.203251230316462,6.203251230316462,0.3590795619260746,5.78966420115804,0.03091809689524534,0.023566589021780583,6.148743763084115,0.3899976588213199,0.05448468591702592,5.81323079017982,161.97713978558426,3.585949609236764,0.4343548611258562,161.5427849244584,0.003184985131644106,5.786479216026395,53.18624199999999,161.9870133333333,712.7588161280028,3.5923947355866854,7.97793578,0.4300365242561401,-2.5075814,-8.121222854586419,-0.7114708943140572,-0.8798714057902334,-0.7089712121579524,-18.54999476968354,-22.940657314082976,-18.48482120982018,-26.07273876968354,-251.03670111297296,0.9798829548405447,1587.245445937167,-907.9532247583343
3061,Unilateral,China as Home,0.06264413890090961,20.43136774274014,5.0,51.0,0.999939966315381,0.920722352568248,0.002674435261381028,0.0,6.195443201890048,6.195443201890048,0.35842000299512927,5.7828580441904,0.030861306397825465,0.023285522894628565,6.141278047185529,0.38928130939295474,0.05414682929245403,5.806143567085028,161.97728198979604,3.5859411666313155,0.4332237625148969,161.5440582272811,0.003170856187286987,5.779687188003113,53.18624199999999,161.9870133333333,713.2034098490622,3.5922738620066847,7.97793578,0.42850579291690066,-2.5075814,-8.121712598502702,-0.711557274537466,-0.8796209430842943,-0.7090307030777081,-18.557802798109954,-22.94099517070755,-18.49190843291497,-26.080546798109953,-251.5223980234281,0.9799689344280598,1592.1485103793962,-908.7010264305326
3067,Unilateral,China as Home,0.06248634118575981,20.46901818279969,5.0,51.1,0.9999408301202621,0.920722352568248,0.0026674828346928033,0.0,6.187635263073692,6.187635263073692,0.35776549114648826,5.776114617256809,0.030804950473119465,0.023008432375011954,6.1338801084032974,0.38857044161960774,0.05381338284813142,5.799123049631821,161.9774219149631,3.58593277531214,0.4320975597266019,161.54532435523646,0.0031568380136619855,5.772957779243147,53.18624199999999,161.9870133333333,713.6474607731777,3.5921549256146954,7.977935780000001,0.42698335615929833,-2.5075814,-8.122201103939513,-0.7116436020646384,-0.8793704642738535,-0.7090876039102685,-18.56561073692631,-22.94132861715187,-18.498928950368178,-26.08835473692631,-252.00614859093335,0.9800544043861246,1597.0558238366555,-909.4475065865291
3073,Unilateral,China as Home,0.06233035027329305,20.506946855642916,5.0,51.2,0.9999416791740876,0.920722352568248,0.0026605680649670013,0.0,6.179907030022351,6.179907030022351,0.35710850344742656,5.769308396069835,0.03074838136840736,0.022735030304950325,6.126416899517261,0.3878568848158339,0.053483411673357684,5.792043426374786,161.97755945065077,3.5859244440476954,0.43097745687692995,161.54658199377386,0.0031428726388570243,5.7661655234309785,53.18624199999999,161.9870133333333,714.0904824160214,3.5920380202801616,7.977935780000001,0.42547081774316003,-2.5075814,-8.122683410054107,-0.7117289974646932,-0.8791226872906547,-0.7091489015771266,-18.573338969977648,-22.941658588326643,-18.506008573625213,-26.09608296997765,-252.4935123822701,0.9801392751548794,1601.9591359320352,-910.1932512639918
3079,Unilateral,China as Home,0.06217451279026168,20.54471888784176,5.0,51.300000000000004,0.9999425147432925,0.920722352568248,0.0026536825590951886,0.0,6.172176735996711,6.172176735996711,0.35645663114726023,5.762566578752546,0.030692252718723816,0.022465470761914113,6.119023209899806,0.38714888386598406,0.05315772348063793,5.78503204951446,161.97769480200515,3.5859161625258884,0.4298620943913693,161.54783270761376,0.003129016727806618,5.75943756202474,53.18624199999999,161.9870133333333,714.5330010135914,3.5919229716289465,7.97793578,0.42396631822275194,-2.5075814,-8.123164639528007,-0.7118143650539466,-0.8788748235552224,-0.7092074925319312,-18.58106926400329,-22.941984276519364,-18.51301995048554,-26.10381326400329,-252.9788570900133,0.9802236515402591,1606.8668333496444,-910.9377155097561
3085,Unilateral,China as Home,0.06201942631696449,20.582509366103455,5.0,51.400000000000006,0.99994333685804,0.920722352568248,0.002646827859781692,0.0,6.164474071818015,6.164474071818015,0.3558068035293141,5.755838748508027,0.030636300123847358,0.022199558991835594,6.111645552037341,0.3864431036531615,0.05283585911568295,5.7780383074998625,161.9778279739122,3.5859079324248215,0.4287517221679759,161.54907625174422,0.0031152446719349995,5.752723503836092,53.18624199999999,161.9870133333333,714.9749078859174,3.591809775507925,7.977935780000001,0.422470173706392,-2.5075814,-8.123642951506682,-0.7118993772444765,-0.8786278898546385,-0.7092661239369717,-18.588771928181984,-22.94230614088432,-18.520013692500136,-26.111515928181987,-253.4644494888814,0.980307516222026,1611.7756808255028,-911.6812663838049
